DATE,EXPECTED TYPE A TRUCKS,ACTUAL  TYPE A TRUCKS,OUTSIDE EXTRA  TYPE A TRUCKS,EXPECTED  TYPE B FORK TRUCKS,ACTUAL  TYPE B TRUCKS,EXPECTED  TYPE C TRUCKS,ACTUAL  TYPE C TRUCKS,"LARGE DELIVERIES 
(LBS)",SMALL DELIVERIES (LBS),"LARGE DELIVERIES 
(QTY)","SMALL DELIVERIES 
(QTY)"," RESCHEDULES
(QTY)","RESCHEDULES
(LBS)"
14-Apr-22,36,21,9,12,9,12,15,"18,606,300","1,736,625",434,525,9,"7,234"
15-Apr-22,36,21,9,12,9,12,15,"17,365,305","863,880",504,301,7,"9,968"
18-Apr-22,36,21,12,12,9,12,15,"19,849,350","1,250,295",546,350,9,"7,135"
19-Apr-22,36,18,15,12,9,12,15,"18,912,240","1,400,220",518,441,8,"14,547"
20-Apr-22,36,21,12,12,9,12,15,"20,030,595","1,473,045",581,406,8,"7,626"
21-Apr-22,36,21,12,12,6,12,15,"21,428,385","1,208,910",525,280,6,533
22-Apr-22,36,18,15,12,6,12,12,"22,428,255","1,208,370",525,343,5,"3,310"
25-Apr-22,36,18,12,12,6,12,15,"19,814,835","1,359,510",413,392,7,"26,832"
26-Apr-22,36,21,12,12,6,12,15,"19,167,735","1,387,260",539,357,6,"7,288"
27-Apr-22,36,21,12,12,6,12,15,"22,056,255","874,695",665,441,6,"5,113"
28-Apr-22,36,18,18,12,6,12,15,"18,739,965","1,086,135",546,665,6,"6,786"
29-Apr-22,36,15,12,12,3,12,15,"18,817,065","890,415",476,266,6,"4,571"
2-May-22,36,18,12,12,6,12,15,"20,409,585","1,478,940",511,490,6,"11,941"
3-May-22,36,24,12,12,6,12,15,"15,436,770","1,777,440",385,406,9,"19,631"
4-May-22,36,24,18,12,6,12,15,"16,569,810","1,057,050",455,343,8,"10,988"
5-May-22,36,21,15,12,3,12,15,"23,549,775","695,820",518,217,8,989
6-May-22,36,18,12,12,6,12,15,"11,787,825","843,885",308,322,13,"29,114"
9-May-22,36,21,9,12,6,12,15,"15,824,880","1,052,580",385,392,9,"7,223"
10-May-22,36,21,12,12,6,12,15,"18,645,600","1,289,190",504,378,10,"7,562"
11-May-22,36,21,9,12,6,12,15,"19,847,865","1,570,035",504,427,8,"14,803"
12-May-22,36,18,18,12,6,12,15,"16,485,795","1,215,030",462,392,10,"8,662"
13-May-22,36,18,15,12,6,12,12,"17,346,105","2,068,665",497,539,10,"6,613"
16-May-22,36,18,15,12,6,12,12,"18,531,030","1,814,670",483,406,11,"7,517"
17-May-22,36,21,15,12,6,12,12,"18,111,540","1,172,760",567,469,9,"10,858"
18-May-22,36,18,21,12,6,12,12,"22,680,435","2,112,780",546,588,7,"3,857"
19-May-22,36,18,18,12,6,12,12,"20,108,700","887,340",525,259,9,0
20-May-22,36,18,15,12,9,12,12,"19,189,515","1,142,190",581,336,8,"4,434"
23-May-22,36,18,18,12,9,12,15,"17,502,285","829,020",462,238,9,"2,703"
24-May-22,36,18,12,12,9,12,15,"15,461,280","1,104,270",511,287,9,"10,313"
25-May-22,36,18,12,12,9,12,15,"17,104,305","1,397,970",448,406,7,"5,649"
26-May-22,36,18,18,12,9,12,15,"16,318,155","788,790",483,231,13,"5,935"
27-May-22,36,18,12,12,6,12,15,"17,254,665","651,420",350,245,7,"14,851"
31-May-22,36,18,12,12,9,12,15,"20,960,490","1,441,155",553,364,8,"3,789"
1-Jun-22,36,18,18,12,9,12,15,"16,688,820","1,237,875",476,511,6,"7,786"
2-Jun-22,36,18,18,12,9,12,15,"17,448,135","1,034,685",560,189,9,"1,558"
3-Jun-22,36,15,15,12,9,12,15,"13,120,635","858,345",371,364,7,"13,252"
6-Jun-22,36,15,12,12,9,12,15,"16,929,285","2,232,360",413,469,9,"4,894"
7-Jun-22,36,15,12,12,9,12,15,"18,284,565","1,652,520",616,315,8,"4,026"
8-Jun-22,36,12,15,12,9,12,15,"18,638,025","1,330,635",490,399,8,"1,179"
9-Jun-22,36,15,9,12,9,12,15,"12,270,855","916,335",343,308,11,"13,805"
10-Jun-22,36,15,9,12,6,12,15,"13,427,835","610,065",392,315,7,"6,936"
13-Jun-22,36,15,12,12,9,12,15,"18,171,525","1,060,665",490,266,10,"21,058"
14-Jun-22,36,15,12,12,9,12,15,"15,734,610","1,541,715",511,399,9,"27,967"
15-Jun-22,36,12,18,12,9,12,15,"19,298,565","1,146,450",560,385,11,"6,222"
16-Jun-22,36,15,21,12,9,12,12,"21,332,835","1,479,780",476,483,11,"2,142"
17-Jun-22,36,18,12,12,9,12,15,"20,017,905","855,015",441,259,6,"3,395"
20-Jun-22,36,18,24,12,9,12,12,"14,462,025","1,458,405",399,539,9,"4,484"
21-Jun-22,36,24,18,12,9,12,15,"16,994,685","1,674,705",427,420,9,"8,042"
22-Jun-22,36,18,15,12,9,12,12,"11,214,075","1,061,730",469,224,9,"17,371"
23-Jun-22,36,18,6,12,9,12,12,"15,434,730","948,255",413,280,10,"4,108"
24-Jun-22,36,15,3,12,9,12,12,"8,881,050","965,850",357,294,7,"22,542"
27-Jun-22,36,15,9,12,9,12,12,"12,267,900","1,059,285",385,336,13,"11,421"
28-Jun-22,36,18,6,12,9,12,12,"12,142,485","905,010",350,350,8,"1,099"
29-Jun-22,36,18,3,12,9,12,12,"11,552,190","787,260",385,315,13,"21,113"
30-Jun-22,36,15,3,12,9,12,12,"10,780,680","1,044,450",357,280,12,"67,155"
1-Jul-22,36,18,3,12,9,12,12,"8,443,890","779,715",301,238,8,"16,940"
5-Jul-22,36,21,9,12,9,12,12,"16,507,680","924,315",462,308,12,"17,878"
6-Jul-22,36,18,9,12,9,12,12,"17,119,125","1,381,260",343,343,9,"19,354"
7-Jul-22,36,21,12,12,9,12,12,"17,919,510","1,003,290",427,448,8,"7,783"
8-Jul-22,36,21,12,12,9,12,12,"12,663,270","1,165,215",231,245,5,"3,027"
11-Jul-22,36,27,0,12,9,12,12,"14,003,895","1,054,995",462,287,9,"9,918"
