Date,Trucks (qty),Deliveries (lbs.),Deliveries (qty),Reschedules (qty),Reschedules (lbs.),Temperature (°F),Precipitation (in),Lumber ($)
3/2/2022,39,15822015,756,10,13188,54,0,1268.7
3/3/2022,36,12754440,644,9,8655,56.5,0,1313.7
3/4/2022,30,15485385,686,8,5502,58,0,1310.8
3/5/2022,39,15953771,760,7,10891,62.8,0.1,755.5
3/6/2022,39,15945412,759,7,10915,62.8,0.1,754.8
3/7/2022,36,23448750,875,11,22831,42,0.01,1302.8
3/8/2022,33,22953585,833,8,1624,36,0.06,1245.8
3/9/2022,36,14472690,595,12,28518,40,0,1195.9
3/10/2022,39,20291460,805,11,9019,49,0,1216.2
3/11/2022,33,16084800,742,8,10421,32.5,0.02,1159.2
3/12/2022,38,15895260,755,7,11056,63,0.1,750.3
3/13/2022,38,15886901,755,7,11079,63.1,0.1,749.6
3/14/2022,36,19940790,721,11,8223,63.5,0,1103.4
3/15/2022,30,17580330,553,9,26567,58.5,0,1160.4
3/16/2022,36,14118060,875,12,39399,58.5,0,1150
3/17/2022,39,17773380,798,12,21629,67,0,1207
3/18/2022,39,12662970,798,9,21883,50.5,0,1185.3
3/19/2022,38,15836749,751,7,11220,63.3,0.1,745.1
3/20/2022,38,15828390,750,7,11244,63.3,0.1,744.4
3/21/2022,30,12729675,812,10,24960,61.5,0.57,1128.3
3/22/2022,36,14725320,770,11,15707,49,0,1111.3
3/23/2022,33,17395695,791,12,15525,49.5,0,1054.3
3/24/2022,33,23481480,840,12,19345,48,0,1020
3/25/2022,36,19912245,763,9,25855,56,0,1008
3/26/2022,38,15778238,746,7,11385,63.5,0.1,739.9
3/27/2022,38,15769879,746,7,11408,63.6,0.1,739.1
3/28/2022,42,18787950,700,11,19810,72,0,999.5
3/29/2022,36,20023650,1099,8,15970,73,0,1054
3/30/2022,36,20497305,980,9,16914,55.5,0.4,1001.7
3/31/2022,36,16635735,686,13,29891,52,0,965.3
4/1/2022,39,15780557,751,7,10436,64,0.1,734.5
4/2/2022,39,15772198,751,7,10459,64,0.1,733.8
4/3/2022,39,15763840,750,7,10483,64.1,0.1,733
4/4/2022,36,16321575,875,9,8869,70,2.42,966.5
4/5/2022,39,16635675,861,10,14913,77.5,0,938.4
4/6/2022,42,20581650,805,9,11253,62.5,0,881.4
4/7/2022,42,24074640,812,10,7667,55.5,0,892.9
4/8/2022,42,21904110,847,7,5544,52.5,0,949.9
4/9/2022,38,15713687,746,7,10624,64.3,0.1,728.5
4/10/2022,38,15705329,746,7,10647,64.3,0.1,727.8
4/11/2022,42,15793665,700,12,17526,78.5,0,886.3
4/12/2022,45,15707760,819,9,17683,74,0.01,874.2
4/13/2022,48,16908930,945,7,7251,66,0,883.7
4/14/2022,45,20342925,959,9,7234,57,0,889
4/15/2022,45,18229185,805,7,9968,70.5,0,889
4/16/2022,38,15655176,742,7,10788,64.5,0.1,723.3
4/17/2022,38,15646818,741,7,10812,64.5,0.1,722.6
4/18/2022,45,21099645,896,9,7135,60.5,0,923.9
4/19/2022,42,20312460,959,8,14547,60,0,938.6
4/20/2022,45,21503640,987,8,7626,79.5,0,995.6
4/21/2022,42,22637295,805,6,533,79,0,1025
4/22/2022,36,23636625,868,5,3310,78.5,0,1002.6
4/23/2022,38,15596665,737,7,10953,64.7,0.1,718.1
4/24/2022,38,15588307,737,7,10976,64.8,0.1,717.4
4/25/2022,39,21174345,805,7,26832,57.5,0.28,1015
4/26/2022,42,20554995,896,6,7288,58.5,0,1008.16
4/27/2022,42,22930950,1106,6,5113,62,0,999
4/28/2022,39,19826100,1211,6,6786,72.5,0,965.06
4/29/2022,33,19707480,742,6,4571,75.5,0,939.94
4/30/2022,38,15538154,733,7,11117,65,0.1,712.9
5/1/2022,38,15573908,740,7,10074,65.3,0.1,710.5
5/2/2022,39,21888525,1001,6,11941,73,1.66,918
5/3/2022,45,17214210,791,9,19631,58.5,0.22,912
5/4/2022,45,17626860,798,8,10988,72,0,909.7
5/5/2022,39,24245595,735,8,989,68.5,0,873.9
5/6/2022,39,12631710,630,13,29114,68,0,827.1
