Date,Trucks (actual) (qty),Deliveries (lbs.),Deliveries (qty),Reschedules (lbs.),Reschedules (qty),Avg. Temperature (°F),Precipitation (in),Lumber ($)
6/13/2022,39,19232190,756,21058,10,89,0,528.00
6/14/2022,39,17276325,910,27967,9,87.5,0,538.00
6/15/2022,36,20445015,945,6222,11,87.5,0,563.50
6/16/2022,36,22812615,959,2142,11,87,0,569.00
6/17/2022,42,20872920,700,3395,6,82.5,0,581.10
6/20/2022,39,15920430,938,4484,9,88.5,0,581.10
6/21/2022,48,18669390,847,8042,9,88.5,0,610.10
6/22/2022,39,12275805,693,17371,9,84.5,0,611.60
6/23/2022,39,16382985,693,4108,10,86.5,0,617.00
6/24/2022,36,9846900,651,22542,7,89,0,608.60
6/27/2022,36,13327185,721,11421,13,82,0,613.15
6/28/2022,39,13047495,700,1099,8,82,0,608.56
6/29/2022,39,12339450,700,21113,13,79,0,617.88
6/30/2022,36,11825130,637,67155,12,80.5,0,636.26
7/1/2022,39,9223605,539,16940,8,84.5,0,667.31
7/5/2022,42,17431995,770,17878,12,89.5,0,656.50
7/6/2022,39,18500385,686,19354,9,91.5,0,639.75
7/7/2022,42,18922800,875,7783,8,91,0,634.70
7/8/2022,42,13828485,476,3027,5,91,0,671.68
7/11/2022,48,15058890,749,9918,9,91.5,0,658.60
7/12/2022,39,18425055,812,11593,6,86.5,0,668.55
7/13/2022,42,18425280,1008,3606,6,89.5,0,649.54
7/14/2022,45,16546320,952,5092,7,85.5,0,659.54
7/15/2022,39,8915925,665,7436,5,85,0,637.21
7/18/2022,48,17496960,693,8802,10,96.5,0,681.73
7/19/2022,42,14701185,735,14439,6,97.5,0,645.00
7/20/2022,54,14264685,763,12472,5,97,0,627.70
7/21/2022,45,18965460,714,10836,7,91,0,615.10
7/22/2022,42,11564205,490,3671,4,92,0,583.50
7/25/2022,45,20457765,784,4918,7,93.5,0,566.20
7/26/2022,54,16002765,784,15141,5,93,0,552.00
7/27/2022,45,14899275,798,11555,7,91.5,0,558.70
7/28/2022,45,15910665,805,4784,8,92,0,539.30
7/29/2022,51,9456075,483,8604,5,91.5,0,526.70
8/1/2022,48,18418485,889,10314,7,92.5,0,536.00
8/2/2022,51,11552730,651,3928,4,94,0,520.60
8/3/2022,45,11483820,672,10524,8,93,0,483.20
8/4/2022,39,8866815,490,5775,7,91.5,0,501.00
8/5/2022,36,8890410,525,12971,5,93,0,475.10
8/8/2022,42,15747675,742,20943,11,91,0,519.00
8/9/2022,42,11216100,679,11768,6,88.5,0.02,550.00
8/10/2022,36,11659320,539,20765,6,86.5,0.22,601.80
8/11/2022,39,11393610,791,8685,8,85,0,593.50
8/12/2022,33,10846575,623,3173,4,87.5,0,588.70
8/15/2022,45,20261715,665,8501,7,88.5,0,593.40
8/16/2022,36,13230660,728,10718,4,87.5,0,596.40
8/17/2022,42,13537305,819,13385,5,88,0,598.40
8/18/2022,45,10596465,756,6717,5,78.5,0.41,560.00
8/19/2022,39,13884240,546,16450,5,82.5,0,516.70
8/22/2022,39,12156660,609,25327,7,77,2.25,500.20
8/23/2022,36,9734310,490,11186,5,79,0.18,515.50
8/24/2022,39,8160570,504,10259,8,81.5,0,495.40
8/25/2022,39,14920305,742,705,5,81,0,519.30
8/26/2022,39,15090900,595,10136,5,82.5,0,524.50
8/29/2022,36,17046375,819,10434,6,83.5,0,509.80
8/30/2022,36,9669345,602,4028,6,81.5,0.31,502.50
